Thermoforming mold,,,,,,,,,,,,,,,,
Trial,Overlap [mm],Cutting depth [mm],Cooling lubricant,Tools,Number of teeth,fz [mm],Dc [mm],Material,Vc [mm/min],Calculated spindle speed [1/min],Factor,Exact spindle speed [U/min],Spindle Speed [U/min],Feedrate [mm/min],NC-Code,Comment
TF-01,0 - 15,5,no,HSS,4,3.9E-2,20,Al 2007 T4,120,1909.8593171027442,100,1909.8593171027442,1900,296.39999999999998,TF-01,
TF-02,0 - 15,10,no,HSS,4,3.9E-2,20,Al 2007 T4,120,1909.8593171027442,100,1909.8593171027442,1900,296.39999999999998,TF-02,
TF-03,0 - 15,15,no,HSS,4,3.9E-2,20,Al 2007 T4,120,1909.8593171027442,100,1909.8593171027442,1900,296.39999999999998,TF-03,
TF-01-A01,0 - 15,5,no,HSS,4,4.6800000000000001E-2,20,Al 2007 T4,120,1909.8593171027442,100,1909.8593171027442,1900,355.68,TF-01-A01,Feedrate+ 20%
TF-02-A01,0 - 15,10,no,HSS,4,2.7299999999999998E-2,20,Al 2007 T4,84,1336.9015219719208,100,1336.9015219719208,1350,147.41999999999999,TF-02-A01,"Built-up edge: f_z - 30%, v_c - 30%"
TF-03-A01,0 - 15,15,no,HSS,4,5.0700000000000002E-2,20,Al 2007 T4,156,2482.8171122335675,100,2482.8171122335675,2500,507,TF-03-A01,"Overload:  f_z + 30%, v_c + 30%"
TF-03-A02,0 - 15,15,no,HSS ,4,6.2400000000000004E-2,20,Al 2007 T4,192,3055.7749073643904,100,3055.7749073643909,3050,761.28000000000009,TF-03-A02,"Overload: f_z + 60%, v_c + 60%"
,,,,,,,,,,,,,,,,
Injection mold,,,,,,,,,,,,,,,,
Trial,Optimal Overlap [mm],Optimal Cutting depth [mm],Cooling lubricant,Tools,Number of teeth,fz [mm],Dc [mm],Material,Vc [mm/min],Calculated spindle speed [U/min],Factor,Exact spindle speed [U/min],Spindle Speed [U/min],Feedrate [mm/min],NC-Code,Comment
IM-01R,5,6,no,VHM,4,4.4999999999999998E-2,10,S235JR,100,3183.098861837907,100,3183.098861837907,3200,576,IM-01R,Roughing
IM-01F,0.5,0.5,no,VHM,4,2.2460000000000001E-2,10,S235JR,140,4456.3384065730697,100,4456.3384065730697,4450,399.78800000000001,IM-01F,Finishing
IM-02F-A01,0.5,0.5,no,VHM,4,4.4920000000000002E-2,10,S235JR,140,4456.3384065730697,100,4456.3384065730697,4450,799.57600000000002,IM-02F,Finishing with Chatter
IM-01R-A01,5,6,no,VHM,4,4.4999999999999998E-2,10,S235JR,100,3183.098861837907,100,3183.098861837907,3200,576,IM-01R,Roughing with Toolwear and Blowholes (depth: 1 mm)
IM-01R-A02,5,6,no,VHM,4,4.4999999999999998E-2,10,S235JR,100,3183.098861837907,100,3183.098861837907,3200,576,IM-01R,Roughing with Toolwear and Blowholes (depth: 5 mm)
IM-01R-A03,5,6,no,VHM,4,4.4999999999999998E-2,10,S235JR,100,3183.098861837907,100,3183.098861837907,3200,576,IM-01R,Roughing with Toolwear
IM-01R-A04,5,6,no,VHM,4,4.4999999999999998E-2,10,S235JR,100,3183.098861837907,100,3183.098861837907,3200,576,IM-01R,Roughing with Toolwear
IM-01R-A05,5,6,no,VHM,4,4.4999999999999998E-2,10,S235JR,100,3183.098861837907,100,3183.098861837907,3200,576,IM-01R,Roughing with Toolwear
